No.,UID,Ward,Name,Designation,Department,Password
1,MUMHQ00001,All Wards (HQ),"Dr. Bhushan Gagrani, IAS",Municipal Commissioner & Administrator,,mum_admin
2,MUMA001001,A,Santoshkumar Dhonde,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
3,MUMB002001,B,Udaykumar Shiroorkar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
4,MUMC003001,C,Sangita Hasnale,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
5,MUMD004001,D,Sharad Ughade,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
6,MUME005001,E,Ajitkumar Ambi,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
7,MUMFN06001,F/North,Gajanan Bellale,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
8,MUMFS07001,F/South,Swapnaja Kshirsagar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
9,MUMGN08001,G/North,Kiran Dighavkar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
10,MUMGS09001,G/South,Alka Sasane,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
11,MUMHE10001,H/East,Ashok Khairnar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
12,MUMHW11001,H/West,Vinayak Vispute,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
13,MUMKE12001,K/East,Manish Valanju,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
14,MUMKW13001,K/West,Prithviraj Chauhan,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
15,MUML014001,L,Dhanaji Herlekar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
16,MUMME15001,M/East,Mahendra Ubale,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
17,MUMMW16001,M/West,Vishwas Mote,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
18,MUMN017001,N,Sanjay Sonawane,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
19,MUMPN18001,P/North,Makarand Dagadkhair,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
20,MUMPS19001,P/South,Sanjog Kabre,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
21,MUMRC20001,R/Central,Bhagyashree Kapse,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
22,MUMRN21001,R/North,Nitin Arte,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
23,MUMRS22001,R/South,Sandhya Nandedkar,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
24,MUMS023001,S,Sudhanshu Dwivedi,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
25,MUMT024001,T,Chakrapani Alle,Assistant Municipal Commissioner (Ward Officer),,mum_wardoff
26,MUMA001002,A,Makarand Narwekar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
27,MUMB002002,B,Afreen Shaikh,Municipal Corporator (Nagarsevak),,mum_nagarsevak
28,MUMC003002,C,Hemangi Worlikar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
29,MUMD004002,D,Geeta Gawli,Municipal Corporator (Nagarsevak),,mum_nagarsevak
30,MUME005002,E,Surekha Lokhande,Municipal Corporator (Nagarsevak),,mum_nagarsevak
31,MUMFN06002,F/North,Trushna Vishwasrao,Municipal Corporator (Nagarsevak),,mum_nagarsevak
32,MUMFS07002,F/South,Amey Ghole,Municipal Corporator (Nagarsevak),,mum_nagarsevak
33,MUMGN08002,G/North,Milind Vaidya,Municipal Corporator (Nagarsevak),,mum_nagarsevak
34,MUMGS09002,G/South,Kishori Pednekar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
35,MUMHE10002,H/East,Sunil More,Municipal Corporator (Nagarsevak),,mum_nagarsevak
36,MUMHW11002,H/West,Asif Zakaria,Municipal Corporator (Nagarsevak),,mum_nagarsevak
37,MUMKE12002,K/East,Anant Nar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
38,MUMKW13002,K/West,Harun Khan,Municipal Corporator (Nagarsevak),,mum_nagarsevak
39,MUML014002,L,Kaptan Malik,Municipal Corporator (Nagarsevak),,mum_nagarsevak
40,MUMME15002,M/East,Rais Shaikh,Municipal Corporator (Nagarsevak),,mum_nagarsevak
41,MUMMW16002,M/West,Supriya More,Municipal Corporator (Nagarsevak),,mum_nagarsevak
42,MUMN017002,N,Ritu Tawde,Municipal Corporator (Nagarsevak),,mum_nagarsevak
43,MUMPN18002,P/North,Deepak Thakur,Municipal Corporator (Nagarsevak),,mum_nagarsevak
44,MUMPS19002,P/South,Vinod Ghosalkar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
45,MUMRC20002,R/Central,Yogesh Verma,Municipal Corporator (Nagarsevak),,mum_nagarsevak
46,MUMRN21002,R/North,Balkrishna Khopkar,Municipal Corporator (Nagarsevak),,mum_nagarsevak
47,MUMRS22002,R/South,Shekhar Chavan,Municipal Corporator (Nagarsevak),,mum_nagarsevak
48,MUMS023002,S,Ashok Patil,Municipal Corporator (Nagarsevak),,mum_nagarsevak
49,MUMT024002,T,Manoj Kotak,Municipal Corporator (Nagarsevak),,mum_nagarsevak
50,MUMA001003,A,Eknath Mhatre,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
51,MUMA001004,A,Siddharth Shinde,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
52,MUMA001005,A,Manoj Kharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
53,MUMA001006,A,Jayant Salvi,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
54,MUMA001007,A,Chetan Suryavanshi,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
55,MUMA001008,A,Shirish Parab,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
56,MUMA001009,A,Sachin Kute,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
57,MUMB002003,B,Satish Pardeshi,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
58,MUMB002004,B,Tushar Jadhav,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
59,MUMB002005,B,Mangesh Gharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
60,MUMB002006,B,Mahesh Pawar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
61,MUMB002007,B,Kishor Sutar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
62,MUMB002008,B,Devendra Gore,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
63,MUMB002009,B,Umesh Vichare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
64,MUMC003003,C,Prakash Kulkarni,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
65,MUMC003004,C,Ramesh Kokate,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
66,MUMC003005,C,Shrikant Mandlik,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
67,MUMC003006,C,Tanaji Kadam,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
68,MUMC003007,C,Bhupesh Khopkar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
69,MUMC003008,C,Pradeep Chavan,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
70,MUMC003009,C,Pandurang Raut,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
71,MUMD004003,D,Kailas Tambe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
72,MUMD004004,D,Girish Koli,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
73,MUMD004005,D,Nitin Mohite,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
74,MUMD004006,D,Prashant Mane,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
75,MUMD004007,D,Rohit Gokhale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
76,MUMD004008,D,Abhay Gharpure,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
77,MUMD004009,D,Dilip Narvekar,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
78,MUME005003,E,Subhash Gaikwad,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
79,MUME005004,E,Pramod Thakur,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
80,MUME005005,E,Atul Kamble,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
81,MUME005006,E,Suresh Gholap,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
82,MUME005007,E,Ravindra Solanki,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
83,MUME005008,E,Ajit Bandal,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
84,MUME005009,E,Sambhaji Rane,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
85,MUMFN06003,F/North,Jitendra Wani,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
86,MUMFN06004,F/North,Hemant Vaidya,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
87,MUMFN06005,F/North,Gajanan Deshmukh,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
88,MUMFN06006,F/North,Dnyaneshwar Bhoir,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
89,MUMFN06007,F/North,Manohar Bhosle,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
90,MUMFN06008,F/North,Vilas Sonawane,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
91,MUMFN06009,F/North,Vinod Waghmare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
92,MUMFS07003,F/South,Sameer Thorat,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
93,MUMFS07004,F/South,Rajendra Bhide,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
94,MUMFS07005,F/South,Deepak Bhalerao,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
95,MUMFS07006,F/South,Ashok Malvankar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
96,MUMFS07007,F/South,Sudhakar Patil,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
97,MUMFS07008,F/South,Yogesh Chaudhari,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
98,MUMFS07009,F/South,Sunil Sawant,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
99,MUMGN08003,G/North,Sudhir Londhe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
100,MUMGN08004,G/North,Santosh Pednekar,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
101,MUMGN08005,G/North,Bhagwan Dhumal,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
